S.No.,Name,CMP Rs.,IV Rs.,Mar Cap Rs.Cr.,OPM %,P/E,CMP / BV,PEG,ROE %,ROA 12M %,ROE 3Yr %,ROE 5Yr %,Sales Var 3Yrs %,Sales Var 5Yrs %,Profit Var 3Yrs %,Profit Var 5Yrs %,ROCE % 
302,ION Exchange,397.35,329.52,5827.8,9.56,30.06,4.51,3.54,18.66,7.68,21.57,23.93,20.18,13.09,8.49,17.25,22.34
303,Aeroflex,277.87,98.28,3677.08,21.72,74.86,9.98,3.04,16.57,13.14,20.41,21.51,16.04,21.12,24.63,44.84,22.34
304,Automotive Axles,1796.3,1190.51,2714.21,10.74,16.46,2.7,0.6,16.58,11.91,19.75,16.27,11.7,16.89,27.63,29.71,22.32
305,Unimech Aero.,994.9,1063.32,5059.75,29.69,76.22,7.16,0.42,19.91,15.76,31.29,,88.36,,182.6,,22.22
306,Himadri Special,566.15,207.68,28564.62,20.64,38.02,6.07,0.81,17.83,13.78,16.73,14.22,3.76,22.65,46.7,73.78,22.16
307,CFF Fluid,830.75,632.34,1742.42,27.82,60.23,7.05,1.33,17.42,13.24,22,23.64,45.77,35.57,45.27,76.56,22.13
308,Pearl Global Ind,1543.7,885.07,7123.56,9.04,27.33,5.53,0.48,24.31,9.62,22.9,17.86,18.42,21.74,57.39,57.23,22.11
309,Thejo Engg.,1740.7,874.94,1888.16,13.92,37.4,5.85,3.83,18.24,12.22,20.3,21.48,9.17,12.7,9.77,14.44,22.1
310,Supreme Inds.,3664,1592.96,46542.65,12.56,57.15,8.14,-41.41,17.14,13.45,19.64,23.13,10.36,13.64,-1.38,14.56,22.04
311,AGI Infra,357.2,140.12,4464.91,33.82,53.21,12.95,2.38,25.66,5.86,27.44,27.66,18.03,28.96,22.34,34.67,22.03
312,Silver Touch,139.27,36.45,1766.08,17.33,55.68,12.2,1.11,17.6,10.44,14.89,11.34,27.36,8.72,50,32.77,22
313,Elgi Equipments,547.3,166.5,17344.43,14.48,41.81,8.64,1.53,20.06,11.93,21.25,19.56,11.61,13.92,27.26,52.48,21.91
314,Vilas Transcore,463.25,344.42,1134.04,13.82,25.22,3.62,1.06,15.14,12.06,15.25,14.07,14.85,16.87,23.71,56.57,21.91
315,GPT Infraproject,113.9,128.59,1439.29,12.22,16.05,2.63,0.33,19.58,8.98,17.51,14.79,20.77,13.96,48.98,40,21.87
316,Railtel Corpn.,315.9,248.44,10138.44,14.89,31.16,4.8,1.38,16.46,6.84,14.7,13.39,31.72,26.33,22.54,12.84,21.84
317,Carraro India,543.75,177.43,3091.3,9.4,26.56,6.13,0.37,19.97,7.88,17.18,12.61,6.1,12.54,72.37,45.16,21.84
318,Rites,216.77,110.04,10418.05,25.26,25.22,3.96,-2.72,14.66,7.19,17.76,18.27,-5.9,-2.17,-9.26,-8.96,21.82
319,Shukra Pharma.,32.62,9.61,1428.36,55.52,48.98,21.7,0.37,15.9,11.64,26.55,21.7,16.75,22.45,133.76,243.61,21.8
320,Kross Ltd,184.5,249.58,1190.2,12.83,23.85,2.63,0.41,16.51,10.38,24.65,22.42,27.77,31.15,58.04,86.28,21.72
321,Midwest,1277,571.78,4617.74,27.92,42.66,6.85,2.46,18.69,12.5,18.13,18.92,6.03,,17.33,,21.72
322,NCC,161.99,389.41,10170.49,8.88,13.64,1.35,0.4,11.41,4.32,10.97,9.1,25.85,20.05,34.01,16.93,21.71
323,Kilburn Engg.,514.35,482.94,2734.43,25.62,29.8,4.75,,17.16,10.26,,,,,,,21.68
324,Redtape,127.19,91.61,7031.16,17.86,33.14,8.2,0.42,23.55,8.88,28.9,,88.19,,79.5,,21.67
325,Powerica Ltd,449.45,,5687.87,12.69,25.33,,0.25,15.67,6.96,16.37,10.57,21.27,,99.37,,21.65
326,Pfizer,4733.2,1959.33,21653.32,36.08,28.43,5.63,17.99,16.4,14.02,17.3,18.27,-4.4,1.18,1.58,4.68,21.62
327,Hind Rectifiers,909.9,205.64,3127.11,11,59.55,16.42,0.88,25.72,9.78,15.76,12.5,20.77,16.95,67.54,14.65,21.6
328,Ratnamani Metals,2605.8,1610.12,18264.57,17.68,30.63,4.72,1.62,16.01,12.11,19.28,17.96,18.22,14.94,18.95,12.03,21.51
329,Gravita India,1568,1327.1,11573.17,10.04,30.29,5.12,1.02,21.17,14.97,28.36,29.43,20.41,23.48,29.79,48.7,21.5
330,Jupiter Wagons,279.12,316.9,11928.76,13.02,49.45,4.27,0.52,16.96,11.13,19.97,18.02,48.65,98.45,95.14,124.77,21.49
331,Expleo Solutions,803.75,1433.62,1247.4,15.08,10.65,1.77,0.74,16.26,12.71,19.63,20.79,11.34,30.55,14.46,20.52,21.47
332,KSH Internationa,634.8,274.78,4301.13,6.39,64.39,12.27,2,25.68,11.08,19.87,18.3,30.35,,32.21,,21.45
333,EFC (I),203.66,401.71,2795.91,45.45,15.2,4.49,0.01,23.27,10.52,22.7,,,,2142.82,,21.38
334,Vesuvius India,499.95,278.9,10147.03,17.15,43.65,6.1,1.69,15.02,11.63,17.47,15.17,16.16,21.6,25.79,34.38,21.34
335,Indian Metals,1504.6,840.9,8117.93,18.96,22.04,3.23,-2.48,17.01,12.46,15.89,18.66,-0.49,9.73,-8.87,48.74,21.29
336,KEI Industries,4816.1,2275.93,46042.2,10.27,53.5,7.44,2.35,15.58,11.7,18.09,18.05,19.35,14.78,22.78,22.11,21.29
337,Welspun Corp,1207.45,607.41,31851.4,13.38,20.52,3.89,0.52,18.59,8.93,14.71,14.31,29.04,7.02,39.84,13.17,21.24
338,Elantas Beck,9035.65,3614.91,7163.18,20.31,48.55,7.1,2.68,15.73,13.53,17.66,16.74,9.56,17.22,18.11,19.08,21.21
339,Sky Gold & Diam.,412.55,428.42,6389.32,6.55,27.87,6.16,0.21,25.46,12.16,24.43,,65.3,,135.54,,21.21
340,Bombay Super Hyb,102.11,45.29,1071.51,10.57,40.48,8.97,1.13,28.81,13.73,31.61,30.55,23.2,28.28,35.85,58.19,21.16
341,Valiant Commun.,937.15,130.29,1072.3,34.55,52.93,14.94,0.82,16.14,14.04,12.91,6.8,56.76,20.91,64.44,109.26,21.13
342,NESCO,1168.6,1146.82,8233.95,54.92,20.17,2.94,0.76,15.82,13.76,16.5,15.03,29.46,11.14,26.47,10.75,21.12
343,Allied Blenders,558.3,90,15616.22,13.26,58.23,10.02,0.15,19.96,6.29,11.12,7.95,9.44,3.28,400.74,104.36,21.08
344,D B Corp,215.52,296.8,3841.56,20.05,11.93,1.67,0.32,16.73,12.3,15.47,12.63,9.77,1.02,37.1,6.08,21.06
345,Elecon Engg.Co,512.75,340.09,11506.11,22.11,32.22,4.99,2.24,16.59,11.98,20.83,19.97,15.65,17.77,14.37,43.96,21.04
346,Data Pattern,4077.7,1528.54,22828.58,33.87,91.53,14.84,2.88,15.18,12.18,14.61,16.21,31.59,35.32,31.78,59.36,21
347,Birlasoft Ltd,368.65,309.52,10304,14.98,21.11,2.78,6.19,15.59,12.12,17.02,17.24,9.18,10.31,3.41,18.38,20.95
348,Timken India,3517.6,859.29,26458.94,17.84,61.48,9.56,5.66,16.95,13.91,18.31,17.57,12.63,14.24,10.87,12.63,20.93
349,Vijaya Diagnost.,1065.55,329.06,10964.16,40.4,68.34,12.65,8.38,19,12.29,17.95,20.37,13.8,15,8.16,18.97,20.91
350,Grindwell Norton,1609.8,434.7,17823.71,18.25,45.81,7.81,6.49,16.04,11.96,18.41,18.4,11.79,12.22,7.06,15.09,20.9
