S.No.,Name,CMP Rs.,IV Rs.,Mar Cap Rs.Cr.,OPM %,P/E,CMP / BV,PEG,ROE %,ROA 12M %,ROE 3Yr %,ROE 5Yr %,Sales Var 3Yrs %,Sales Var 5Yrs %,Profit Var 3Yrs %,Profit Var 5Yrs %,ROCE % 
98,Insolation Ener,144.5,295.7,3184.7,12.17,17.97,4.63,0.11,34.87,22.76,40.01,,83.64,,162.83,,34.73
99,Sharda Motor,845,1239.41,4850.95,12.81,15.01,4.18,0.69,26.54,16.32,28.32,27.4,7.94,26.87,21.66,40.13,34.6
100,Indiamart Inter.,2107.1,1722.29,12660.96,31.23,20.92,5.92,0.99,26.92,13.93,19.67,20.24,22.6,16.79,21.08,29.09,34.24
101,Gokul Agro,226.55,250.7,6685.19,2.59,22.35,5.51,0.86,26.95,6.74,23.46,23.84,23.48,28.47,25.98,66.8,34.2
102,Cigniti Tech.,1136.2,1755.88,3129.89,17.12,10.25,2.77,0.3,25.96,19.67,27.21,27.09,17.5,18.23,34.05,12.67,34.09
103,Reliance Infra.,82.79,1149.55,3383.06,8.46,0.68,0.2,0.01,37.52,12.93,6.71,4.14,7.47,4.1,86.45,37.39,34.01
104,DDev Plastiks,236.24,293.85,2444.53,9.9,12.28,2.67,0.24,24.89,17.31,26.69,26.82,5.34,,50.26,,33.92
105,Marsons,161.04,39.28,2771.5,15.76,84.63,19.84,0.48,36.47,27.38,28.8,23.49,373.09,,177.96,60.7,33.82
106,Shreeji Ship. Gl,373.2,132.87,6080.11,36.12,37.63,8.52,2.61,37.95,18.25,44.65,,2.04,,14.43,,33.65
107,D.P. Abhushan,1114.85,1924.34,2544.97,8.05,13.65,5.02,0.34,35.06,16.4,31.83,32.28,24.15,32.58,40.51,46.52,33.64
108,BLS Internat.,275.53,348.24,11344.7,27.43,17.61,5.33,0.27,34.31,24.22,32.25,28.66,37.17,22.78,65.4,45.73,33.62
109,Ajax Engineering,527.75,464.21,6037.82,12.47,27.02,4.82,0.47,25.07,19.14,24.88,22.34,39.54,23.02,57.74,21.15,33.58
110,Astrazeneca Phar,8500,1828.5,21250,13.2,102.15,26.6,2.36,23.63,13.49,23.2,21.22,28.67,15.59,43.27,19.45,33.4
111,Monarch Networth,294.9,901.89,2337.62,68.46,14.58,2.66,0.36,26.17,14.63,30.07,31,28.69,36.14,40.2,130.66,33.31
112,IIFL Capital,320.06,356.72,9967.78,35.03,17.35,3.54,0.55,31.58,8.57,28.77,27.88,24.86,27.16,31.55,34.67,33.27
113,Jubilant Agri,1708.2,1830.69,2588.35,10.74,20.43,6.24,,31.49,11.93,,,,,,,33.22
114,SRM Contractors,524.5,988.5,1203.42,15.83,14.86,4.02,0.32,27.16,17.11,28.52,30.45,26.06,,46.28,,33.2
115,NBCC,93.2,42.66,25164,4.76,37.9,9.42,1.28,25.54,4.68,23.91,21.01,16.11,8.28,29.6,51.02,33.17
116,Steelcast,287.48,98.43,2909.3,28.45,32.16,8.08,1.09,24.24,20.24,29.84,26.36,7.59,13.4,29.6,55.61,32.94
117,Algoquant Fin,54.55,24.76,1533.38,16.26,85.47,13.61,0.74,38.12,12.53,31.84,27.87,141.82,181.38,115.18,31.03,32.85
118,RPG LifeScience.,2033.1,1790.17,3362.55,20.74,32.01,6.07,1.02,25.53,19.75,25.17,23.97,14.08,11.71,31.46,28.54,32.8
119,Natco Pharma,1093.2,1286.86,19580.29,40.72,12.57,2.26,0.09,28,24.23,23.86,18.26,31.57,18.26,139.37,33.27,32.78
120,KFin Technolog.,956.05,384.69,16496.36,42.29,46.68,11.27,1.61,24.97,20.08,25.02,21.58,19.48,19.38,28.93,134.47,32.75
121,Apar Inds.,11532,5400.36,46322.1,8.46,46.71,9.55,0.97,19.5,7.83,24.67,22.26,25.87,20.14,48.21,43.37,32.7
122,Rajoo Engineers,71.07,79.8,1269.85,22.16,20.7,3.88,0.57,26.12,13.72,18.9,17.96,10.1,20.75,36.61,90.73,32.62
123,CRISIL,4269.4,2115.18,31222.13,29.8,37.19,10.29,5.13,24.46,16.07,26.98,28.27,9.64,12.99,7.25,14.4,32.55
124,Netweb Technol.,3824.8,1295.18,21778.67,13.56,122.47,37.45,1.7,23.93,15.15,29.45,31.29,66.93,49.09,71.9,96.32,32.45
125,Emami,460.15,215.43,20085.55,25.98,25,6.85,-23.15,30.18,22.73,29.69,30.91,6.07,7.49,-1.08,21.3,32.42
126,Ajanta Pharma,2765.3,1365.49,34548.45,26.12,34.05,8.01,3.91,24.91,19.43,22.12,22.44,11.63,12.43,8.71,14.26,32.37
127,Banco Products,606.8,590.27,8679.5,18.25,18.16,5.31,0.51,32.18,16.03,27.89,23.76,17.95,17.7,35.6,38.94,32.36
128,Aditya AMC,1067.65,736.23,30865.37,59.87,31.59,7.63,1.76,25.16,22.91,26.42,27.32,11,8.95,17.9,13.17,32.24
129,Enviro Infra,206.61,574.86,3626.63,26.67,17.22,3.19,0.24,27.39,15.67,35.69,36.84,68.32,58.15,72.13,101.61,31.68
130,Shringar House,202.12,279.04,1949.09,7.32,20.15,3.19,0.45,36.18,19.07,30.08,29.5,20.85,,44.45,,31.55
131,Rajputana Stain.,132.23,,1105.02,7.92,25.97,,0.38,30.12,10.69,30.87,24.19,6.56,16.63,68.48,55.55,31.55
132,Corona Remedies,1633.4,405.72,9989.89,20.12,62.73,15.16,0.12,27.55,17,24.08,19.9,24.68,14.75,538.17,20.43,31.47
133,Unicommerce,102.6,72.42,1153.01,18.56,56.49,6.51,,24.78,10.2,,,,,,,31.37
134,Alldigi Tech,818.7,775.82,1247.56,26.03,16.38,5.04,0.61,27.34,17.54,25,20.61,19.87,13.16,26.79,9.75,31.36
135,Balu Forge,460.1,946.93,5585.24,28.25,21.83,4.24,0.24,25.38,20.75,24.79,24.09,47.8,,89.41,,31.26
136,Raghav Product.,679.4,343.37,3119.26,29.26,56.92,12.76,1.92,25.01,21.27,21.57,21.26,23.22,31.82,29.63,43.08,31.22
137,SML Mahindra,3887.8,1512.15,5625.65,9.81,35.22,10.83,0.35,35.42,11.85,38.17,22.09,15.93,36.86,100.43,26.15,30.92
138,Authum Invest,486.95,1573.43,41353.04,90.44,11.36,2.55,0.13,34.14,31.3,33.48,32.42,71.39,,85.2,208.59,30.85
139,Bajaj Consumer,453.4,141.85,5922.23,18.97,31.14,7.84,2.79,25.31,20.6,19.86,19.65,6.62,4.79,11.18,-3.02,30.6
140,Kingfa Science,4920.4,2923.89,6667.82,12.77,39.69,5.15,0.83,23.21,14.22,22.14,17.56,18.52,18.66,47.72,44.08,30.55
141,I T D C,584.95,116.24,5017.08,15.76,62.64,14.82,0.43,24.21,9.12,20.7,10.91,25.38,10.46,144.73,34.49,30.54
142,Axis Solution,291.7,103.4,1378.58,14.06,50.2,11.24,0.09,39.84,21,18.47,13.24,92.8,42.36,584.12,411.46,30.37
143,TD Power Systems,1112.85,228.89,17384.37,18.41,79.16,18.08,2.02,22.31,14.54,19.41,16.71,17.05,19.95,39.23,55.63,30.35
144,Arkade,116.09,402.7,2155.37,26.04,14.55,2.26,0.3,25.75,17.03,31.59,31.49,44.84,,47.77,,30.3
145,Nirlon,550.02,202.99,4956.78,78,15.07,10.69,0.6,59.88,10,48.83,36.76,18.33,15.46,25.32,14.71,30.18
146,Garuda Cons,170.99,181.12,1590.92,30.28,14.99,4.11,0.39,22.09,15.7,32.71,35.86,42.96,12.67,38.41,102.29,30.09
147,Hexaware Tech.,444.75,420.09,27174.94,14.27,18.73,4.3,1.04,24.86,14.57,23.79,23.13,13.44,16.49,18.05,18.49,30.07
148,KP Green Engg.,424.1,749.19,2120.5,17.26,20.21,5.55,0.13,25.08,12.8,25.77,25.29,107.55,69.7,152.84,98.54,30.04
149,Force Motors,20347,14205.25,26809.74,15.67,27.95,7.65,0.28,20.82,11.53,14.89,7.62,35.56,21.25,99.97,46.83,29.99
150,Tata Elxsi,4193,2211.51,26121,22.54,37.52,8.59,-13.59,23.59,18.45,28.66,31.82,6.11,15.52,-2.76,13.76,29.94
151,BF Utilities,569.9,489.67,2146.24,74.02,14.06,10.66,0.3,112.97,13.8,,,17.71,9.35,46.86,39.05,29.88
152,Black Box,550.1,148.09,9695.35,8.7,35.67,10.36,0.68,44.23,9.34,37.63,45.98,3.57,3.62,52.29,23.39,29.75
153,MSTC,433.4,330.55,3051.14,57.79,13.44,3.67,-32.78,28.37,9.98,28.33,28.14,-29.2,-24.06,-0.41,15.18,29.26
154,Clean Science,816.75,811.48,8680.2,42.73,31.95,5.58,3.74,21.88,19.65,25.12,28.54,10.43,17.08,8.54,15.92,29.26
155,Disa India,12290.1,8183.97,1787.23,15.92,29.8,6.53,2.21,21.74,12.93,18.42,17.72,15.81,11.46,13.51,13.84,29.25
156,Aimtron,995.1,777.64,2050.82,22.04,59.03,10.21,,24.8,15.88,,,,,,,29.16
157,Volt.Transform.,10768.5,7071.73,10894.62,18.06,30.75,6.62,0.86,21.68,19.34,21.85,19.11,19.72,17.64,35.86,29.72,29.11
158,Sonata Software,256.98,353.98,7206.36,6.54,15.62,4.07,3.79,27.31,8.73,31.33,32.3,22.29,22.1,4.12,9.25,29.1
159,Sika Interplant,984,394.28,2086.17,19.78,56.86,14.15,3.84,22.04,18.22,17.91,19.1,14.47,18.66,14.79,28.22,29.04
160,Dr Lal Pathlabs,1408.9,488.49,23606.83,28.72,43.03,9.89,3.5,24.3,19.11,20.27,21.89,5.65,13.09,12.28,16.69,28.88
161,SKF India,1701.6,1519.29,8412.36,18.15,23.39,3.05,1.84,21.43,15.68,22.59,21.75,10.3,11.6,12.73,16.57,28.82
162,KNR Construct.,117.93,396.97,3316.6,25.65,6.1,0.7,0.14,27.24,17.05,23.44,21.93,9.65,14.16,44.5,32.46,28.58
163,Yash Highvoltage,637.6,413.15,1820.43,21.91,62.69,11.42,1.8,22.56,15.63,28.19,29.49,32.15,31.73,34.85,49.82,28.5
164,Anthem Bioscienc,739.55,297.87,41541.55,38.15,82.64,15.09,22.77,20.83,17.35,20.97,25.79,14.42,23.86,3.63,37.27,28.5
165,Pokarna,903.15,609.67,2800.13,32.49,24.58,3.45,0.73,27.37,14.33,19.9,18.12,12.51,18.65,33.8,21.54,28.38
166,Concord Biotech,1016.2,716.3,10631.1,38.36,33.47,5.82,1.25,21.35,19.09,20.72,20.77,18.96,18.56,26.82,18.66,28.35
167,D-Link India,452.25,469.2,1605.71,8.67,15.46,3.4,0.47,21.31,13.45,22.42,19.66,14.65,13.33,32.89,25.24,28.34
168,Gulf Oil Lubric.,969.5,1044.18,4799.79,12.93,13.04,2.89,0.7,25.46,14.2,23.82,23.6,17.49,16.67,18.62,11.63,28.3
169,Dhanuka Agritech,1062.2,1299.39,4788.22,19.63,18.07,3.1,1.44,21.95,17.27,21.29,22.57,11.26,12.69,12.51,15.69,28.29
170,Kirl.Pneumatic,1337.4,656.7,8687.51,17.39,41.38,7.62,1.09,21.12,14.24,17.64,16.01,16.84,14.46,37.96,31.77,28.27
171,Solex Energy,1253.2,1216.88,1353.77,12.51,28.99,7.51,0.12,38.74,11.66,28.28,23.06,109.45,36.77,242,54.76,28.22
172,Tilaknagar Inds.,455.65,184.77,11262.34,18.28,39.86,5.66,0.43,29.62,20.26,26.65,,22.33,17.05,93.01,26.4,28.19
173,VST Industries,256.21,231.77,4352.01,30.72,14.89,3.01,-4.06,21.11,15.25,20.67,24.08,4.25,5.68,-3.67,-1.22,28.18
174,NIIT Learning,315.15,367.46,4334.02,19.38,19.7,3.24,4.01,21.54,11.18,25.21,,13.45,,4.91,,28.18
175,Tinna Rubber,700.55,710.73,1262.09,15.85,25.8,4.64,0.62,31.2,14.62,31.06,25.68,30.15,32.65,41.45,65.45,28.05
176,Emmvee Photovol.,256.71,253.2,17773.19,30.91,33.32,18.58,0.14,104.58,12.12,60.86,41.68,61.4,33.28,234.36,93.47,28.01
177,eClerx Services,1468,1308.12,13806.65,25.24,20.64,5.26,2.62,22.8,17.14,25.48,24.7,15.93,18.55,7.89,19.96,27.97
178,Newgen Software,462.75,483.57,6585.76,25.19,20.21,4.14,0.86,22.5,16.52,21.78,21.69,24.05,17.61,23.62,33.45,27.97
179,Maithan Alloys,998.9,2467.34,2907.95,11.2,6.56,0.71,-2.46,21.99,18.24,17.15,20.97,-15.52,-0.16,-2.67,32.52,27.95
180,Amic Forging,1529.4,1100.11,1766.28,27.66,70.01,10.97,0.4,21.8,16.83,28.24,26.98,19.18,55.08,175.05,116.81,27.89
181,Fiem Industries,2175,1686.85,5724.53,13.74,23.8,5.3,0.82,20.99,15.29,20.39,17.86,15.5,11.92,28.97,21.89,27.8
182,Cemindia Project,648.6,634.1,11142.14,9.59,23.74,5.45,0.31,21.78,5.84,17.94,13.12,33.67,26.03,75.8,37.51,27.64
183,Kirl. Brothers,1645,812.82,13062.77,12.52,31.57,5.92,0.49,21.62,11.89,20.73,17.89,13.68,7.46,64.61,41.86,27.59
184,ASK Automotive,428.65,265.31,8450.52,12.93,29.82,7.29,0.68,26.63,14.19,23.68,20.74,21.39,16.97,44.16,16.66,27.58
185,Gandhi Spl. Tube,873.55,1283.91,1061.54,42.64,14.78,3.7,1.18,21.03,19.43,23.57,23.23,7.99,16.34,12.56,19.2,27.53
186,Supriya Lifesci.,642.85,686.35,5173.84,35.9,27.87,4.78,3.78,20.75,18.48,17.11,22.62,9.53,17.45,7.38,20.71,27.46
187,BN Agrochem,237.15,166.33,2318.69,-3.83,45.94,5.22,,26.05,16.4,,,,,,,27.44
188,Stylam Industrie,2234.7,1510.68,3787.38,18.72,26.95,5.24,1.04,20.36,17.56,24.08,23.63,15.85,17.27,25.8,33.88,27.41
189,HBL Engineering,798.35,279.91,22129.86,35.21,27.06,11.15,0.56,20.58,15.29,20.25,15.77,16.75,12.5,47.99,64.63,27.33
190,Guj. Themis Bio.,359.94,124.07,3922.1,45.31,82.09,14.83,21.66,21.69,18.67,31.52,35.82,9.5,12.12,3.79,16.17,27.29
191,Krishana Phosch.,638.15,811.02,3864.16,12.34,21.45,6.89,0.24,38.15,13.46,28.03,23.89,95.66,66.74,88.87,55.87,27.24
192,GPT Healthcare,136.31,86.6,1118.49,18.21,27.59,4.41,4.53,21.3,13.61,23.2,22.98,6.46,13.96,6.09,34.94,27.23
193,Inventurus Knowl,1438,1205.55,24685.16,33.12,37.21,11.02,1.5,32.87,16.71,36.97,38.75,51.66,38.17,24.85,28.66,27.2
194,Jain Resource,410.6,352.13,14169.22,6.69,41.55,10.49,0.44,38.98,13.29,46.02,,196.38,,95.38,,27.2
195,Panorama Studios,42.77,24.14,1114.31,12.27,30.21,5.25,0.28,25.66,7.89,38.64,34.04,63.77,3.02,107.79,56.62,27.19
196,Vikran Engg.,70.12,117.14,1808.47,15.75,24.35,1.56,0.26,20.49,6.72,27.65,25.56,24.42,15.72,95.24,17.79,27.15
197,Macpower CNC,1089.25,631.47,1089.7,16.6,33.14,7.02,1.22,19.85,13.06,19.01,16.99,11.26,26.14,27.21,57.18,27.07
198,Beta Drugs Ltd,1336,1202.73,1354.29,19.92,31.44,6.1,1.39,25.86,13.27,26.59,26.32,25.38,31.89,22.63,37.14,27.04
199,EMS,354.3,759.12,1967.46,21.17,14.96,1.89,0.45,20.69,17.21,22.31,22.87,38.97,24.29,32.92,20.44,26.91
200,Pix Transmission,1483.5,1754.66,2022.01,24.19,18.5,3.17,1.03,20.73,16.51,18.73,19.84,9.48,14.13,17.91,29.48,26.87
201,Advait Energy,2009.7,1430.68,2198.09,10.96,47.87,9.59,0.59,22.49,9.29,25.74,24.02,71.84,55.06,80.67,131.15,26.87
202,Prec. Wires (I),390.15,128.42,7132.25,5.55,54.87,10.78,4.4,16.54,7.73,15.47,15.63,14.38,21.35,12.46,22.99,26.78
203,Chambal Fert.,440.8,500.64,17660.75,12.64,9.22,1.8,16.76,19.78,13.81,17.37,21.11,1.18,6.4,0.55,6.78,26.76
204,TBO Tek,1243.4,682.43,13501.81,14.17,57.79,9.74,0.6,24.62,3.87,35.12,28.42,53.19,24.94,95.94,24.26,26.68
205,Ceinsys Tech,1084.6,728.62,2270.9,20.96,19.05,4.15,0.21,19.46,13.91,17.88,14.95,27.25,16.19,89.81,23.08,26.61
206,Quality Power El,1396.4,293.74,10814.29,20.97,101.06,23.02,1.77,22.06,16.5,23.2,,22.61,,56.95,,26.6
207,Dodla Dairy,1092.9,863.26,6593.23,8.54,24.33,4.31,1,19.83,15.73,16.56,17.51,18.36,11.7,24.28,38.71,26.55
208,Styrenix Perfor.,2331.4,3405.34,4100.93,8.75,24.02,3.29,,24.64,13.99,,,,,,,26.53
209,Orient Tech.,278.2,275.58,1274.32,6.06,30.4,3.58,2.12,19.98,12.06,24.82,24.73,21.55,,14.31,,26.52
210,Vikram Solar,222.79,254.55,8072.35,19.94,17.76,2.74,0.29,16.57,5.16,15.15,9.2,25.54,15.86,61.62,46.46,26.45
211,V-Marc India,894.6,574.67,2184.68,11.27,35.71,9.67,0.38,24.34,6.6,23.23,20.51,71.17,39.43,93.26,48.91,26.43
212,Fine Organic,4851.5,2566.29,14874.69,20.04,37.99,6,2.3,19.47,17.78,28.3,27.54,6.54,16.93,16.51,20.04,26.39
213,Dynamic Cables,365.62,333.96,1771.74,10.75,21.13,4.32,0.75,22.07,11.92,20.47,19.42,22.08,19.06,28.05,28.99,26.37
214,L&T Technology,3379.8,2132.74,35826.69,17.6,27.96,5.53,15.89,20.41,12.76,22.74,23.96,7.65,15.07,1.76,14.55,26.35
215,Godfrey Phillips,2107.2,1232.95,32868.48,21.06,25.32,5.64,0.7,19.93,14.75,19.15,17.37,27.81,14.3,36.06,23.93,26.32
216,Tanla Platforms,485.8,705.66,6442.55,16.38,12.65,2.59,2.9,21.41,14.41,25.19,29.09,9.61,13.54,4.36,7.5,26.22
217,Sterling & Wils.,213.31,,4981.47,4,19.12,7.67,0.63,31.44,5.01,5.91,-58.69,55.31,8.24,30.51,23.85,26.21
218,Blue Star,1818.4,593.29,37388.99,7.13,69.96,12.02,1.34,20.62,7.88,21.48,19.65,25.43,17.43,52.09,32.21,26.2
219,Shanti Gold,205.75,424.65,1483.38,11.48,11.61,2.74,0.07,44.85,14.99,38.31,30.94,37.21,,156.75,,26.19
220,DOMS Industries,2315.8,815.36,14054.2,17.48,63.34,12.79,0.45,22.29,15.83,25.4,20.12,40.91,23.94,141.76,41.24,26.18
221,Gabriel India,973,262.56,13976.56,8.83,56.71,11.31,1.73,19.35,12.33,18.4,15.83,16.04,14.27,32.74,19.99,26.14
222,M & B Engineer.,317.45,405.23,1814.17,12.01,19.1,3.05,0.33,28.49,10.37,24.31,20.15,12.83,13.71,58.28,48.25,26.06
223,Rubicon Research,938.7,130.07,15465.11,19.93,91.82,23.89,1.57,28.88,10.44,18.98,9.53,60,37.32,58.46,22.83,26.05
224,String Metaverse,8.75,10.35,1018.78,10.88,12.74,4,,25.85,25.15,18.47,,,109.98,,123.02,26
225,Vedant Fashions,450.05,174.15,10935,43.83,30.18,6.35,4.03,22.26,14.35,26.94,24.58,11.18,8.66,7.49,9.41,25.93
226,Caplin Point Lab,1719.5,1623.53,13070.21,34.68,21.3,4.14,0.99,22.66,18.32,23.93,24.56,15.14,17.55,21.48,20.48,25.85
227,Tata Technolog.,569.15,289.02,23110.44,15.98,35.19,6.48,2.24,19.91,11.06,21.67,19.9,13.56,12.63,15.71,21.37,25.8
228,J B Chemicals &,2005.8,923.56,32204.87,27.01,42.72,8.26,2,20.12,15.5,19.39,19.91,17.35,17.16,21.41,19.78,25.79
229,Ivalue Infosolut,255.39,320.12,1395.21,12.43,14.93,2.77,0.68,19.88,7.82,20.81,20.41,-11.2,1.25,21.83,21.74,25.77
230,3B Blackbio,1322.35,2098.3,1134.93,43.57,19.76,3.81,1.41,19.4,17.53,16.84,29.55,6.15,27.29,13.97,44.03,25.75
231,EIH Assoc.Hotels,320.55,225.06,1953.31,32.73,19.81,3.73,0.21,19.24,15.84,18.68,11.96,27.88,10.39,92.64,18.84,25.7
232,Shriram Pistons,3478.7,2318.38,15323.61,20.51,27.3,5.81,0.6,23.2,14.87,23.29,19.5,19.8,17.18,45.66,47.8,25.7
233,Shivalik Bimetal,592.3,250.55,3411.9,22.88,37.27,7.68,3.14,20.6,16.19,26.49,26.72,16.2,22.11,11.86,42.17,25.57
234,Petronet LNG,273.45,303.56,41017.5,10.75,11.28,1.94,2.41,21.16,14.92,22.02,23.45,5.7,7.54,4.68,7.44,25.39
235,Heritage Foods,355.25,264.15,3296.58,6.59,20.17,3.16,0.93,20.21,12.67,14.31,16.7,15.53,8.69,21.58,25.6,25.28
236,Vimta Labs,457.65,316.03,2044.29,34.45,26.95,4.91,1.58,19.43,15.64,17.21,16.81,7.62,13.74,17.07,58.03,25.22
237,Hind.Construct.,20.05,8.8,5252.03,15.64,31.61,4.81,,-0.7,-0.03,,,-19.32,-9.91,,,25.15
238,Sumitomo Chemi.,434.7,182.1,21697.87,20.43,40.01,6.79,7.99,18.81,13.91,19.01,20.86,0.33,4.98,5.01,17.27,25.14
239,Vadilal Inds.,4432.6,2688.28,3187.04,14.74,26.07,4.06,0.53,24,14.77,27.35,22.56,21.07,15.62,49.16,29.24,25.11
240,Engineers India,242.89,126.75,13651.45,21.06,17.6,5.05,0.29,23.17,11.39,21.03,17.73,1.96,-0.94,61.13,6.16,25.01
241,Jash Engineering,421.4,242.79,2662.98,12.31,47.89,5.99,1.21,22.35,12.83,22.9,22.17,26,21.49,39.64,34.17,24.95
242,Venus Pipes,1339.35,1839.92,2774.61,16.28,27.57,5.15,0.64,19.78,10.5,21.04,23.74,35.31,40.07,43.07,86.31,24.95
243,Alivus Life,1050.05,715.59,12887.93,31.09,22.92,4.27,4.87,18.69,15.37,20.56,24.66,3.98,9.2,4.71,8.92,24.92
244,Guj Pipavav Port,154.56,93.96,7472.05,58.8,16.95,3.44,0.64,18.96,14.85,17.79,14.76,10.03,6.08,26.68,6.43,24.89
245,Epigral,1202.85,2472.4,5189.26,23.64,15.37,2.47,1.32,22.3,11.84,24.77,26.93,18.03,33.1,11.67,25.81,24.88
246,Interarch Build.,2027.1,1476.35,3399.82,9.28,24.46,4.25,0.29,18.02,11.53,19.97,15.29,20.31,15.11,84.77,22.34,24.81
247,Bayer Crop Sci.,4670.5,2265.05,20990.2,14.97,31.31,6.72,-17.2,19.96,11.56,24.12,23.05,4.95,8.68,-1.82,-0.06,24.8
248,Indegene,491.75,769.4,11846.04,18.48,26.98,4.13,0.92,20.59,14.19,24.33,28.05,19.48,34.59,29.44,67.93,24.8
249,Thyrocare Tech.,395.1,144.26,6288.62,30.8,44.27,11.77,-2.45,16.15,12.86,13.91,19.72,5.29,9.62,-18.06,-0.64,24.78
250,Garware Tech.,627.1,344.54,6224.96,18.61,29.31,4.79,2.37,18.72,13.13,18.27,18.54,9,10.07,12.35,10.71,24.68
251,Knowledge Marine,1675.8,857.83,4096.34,40.3,64.22,17.08,1.86,25.77,15.07,29.41,31.54,48.65,53.04,34.56,61.33,24.67
252,Goldiam Intl.,381.15,264.9,4303.86,19.82,27.49,4.21,7.2,17.13,14.45,15.85,16.15,4.33,16.46,3.82,19.98,24.59
253,CARE Ratings,1560.1,857.92,4687.92,40.67,29.12,5.43,1.31,18.02,15.56,15.18,14.75,17.56,10.55,22.25,10.75,24.55
254,KSB,971.5,375.73,16907.91,13.86,58.53,10.07,3.5,18.26,11.24,17.73,17.28,13.95,17.41,16.71,25.07,24.52
255,Vidya Wires,82.72,40.14,1759.39,4.32,38.18,9.27,1.31,28.01,14.28,25.32,,17.38,25.15,29.1,41.84,24.49
256,Skipper,454.15,282.33,5129.04,10.11,27.91,4.04,0.38,14.18,4.51,9.72,7.52,39.4,27.17,72.79,29.43,24.42
257,Jyoti CNC Auto.,736.1,311.48,16740.61,26.91,47.24,9.14,0.45,21.16,12.99,19.53,12.84,34.53,21.49,104.93,42.76,24.35
258,Krishna Defence,1045.05,505.66,1560.61,17.08,46.92,9.37,0.44,18.44,14.78,16.43,15.67,57.73,50.94,107.29,96.39,24.31
259,GHCL,495.65,709.41,4556.72,23.94,8.99,1.25,-3.57,18.57,15.1,22.37,21.32,-5.55,-0.75,-2.52,8.63,24.19
260,C.E. Info System,921.85,707.65,5048.15,33.92,38.26,6.06,1.49,17.62,14.74,19.18,19.57,32.21,25.53,25.74,44.27,24.13
261,Khazanchi Jewell,642.3,801.64,1589.49,4.99,20.81,5.91,0.14,21.43,15.66,22.48,21.04,90.34,37.46,145.66,81.04,24.07
262,Saksoft,138.17,199.37,1831.46,17.85,13.97,2.61,0.74,18.94,11.97,20.64,20.69,22.49,19.74,18.97,22.59,24.04
263,Sedemac Mechatro,1717.7,,7585.62,18.37,161.71,,1.18,21.95,10.5,13.73,10.82,32.46,,137.54,,24.03
264,Avanti Feeds,1421.1,460.09,19361.87,12.71,30.61,6.43,0.93,19.53,15.68,16.29,16.11,3.68,6.4,33.07,8.2,23.99
265,Fineotex Chem,22.91,19.46,2667.87,19.42,27.47,3.41,1.09,18.37,16.03,24.48,24.11,13.14,22.12,25.18,40.05,23.76
266,Kernex Microsys.,1296.45,335.61,2178.35,23.48,41.37,12.54,0.53,37.99,24.96,1.37,-1.9,205.59,66.39,78.56,44.01,23.76
